model,repeat_index,fold_index,seed,train_frame_count,test_frame_count,successful_test_frames,failed_test_frames,fold_status,test_rms,test_p95,test_edge_rms,test_straightness,straightness_source
brown_conrady,0,0,42,44,11,11,0,fully_successful,3.2349873427781133,6.249582719802856,3.6226472449169593,0.9481067037028275,test
brown_conrady,0,1,42,44,11,11,0,fully_successful,5.810733927770871,9.118543624877928,4.921808560291276,0.911148748016626,test
brown_conrady,0,2,42,44,11,11,0,fully_successful,9.048167336182239,19.30582981109619,9.9029257627329,1.6711430012563844,test
brown_conrady,0,3,42,44,11,11,0,fully_successful,9.247520462867485,15.147286891937247,10.946777622702202,1.294140563393049,test
brown_conrady,0,4,42,44,11,11,0,fully_successful,3.167341125400866,5.700523471832274,3.1898861438048325,1.1374774509054724,test
brown_conrady,1,0,43,44,11,11,0,fully_successful,4.41146627275172,6.910638809204102,3.9597992981903283,1.0617242798974205,test
brown_conrady,1,1,43,44,11,11,0,fully_successful,9.400373699523113,20.648400783538815,8.618902019037654,1.1606289766263291,test
brown_conrady,1,2,43,44,11,11,0,fully_successful,11.05187774695817,22.985164642333984,12.33626536679031,2.179859864618577,test
brown_conrady,1,3,43,44,11,11,0,fully_successful,4.994550003355439,9.85514941215513,5.378829578678064,1.1278113038652102,test
brown_conrady,1,4,43,44,11,11,0,fully_successful,6.234952225515929,14.110708045959466,6.385574957259978,1.5352824293824412,test
brown_conrady,2,0,44,44,11,11,0,fully_successful,9.51958381296456,19.73412647247313,10.272944164025867,1.5289927829903234,test
brown_conrady,2,1,44,44,11,11,0,fully_successful,6.345041506396706,12.986405563354488,7.0292527030195355,1.6403546757674037,test
brown_conrady,2,2,44,44,11,11,0,fully_successful,8.137549262707894,19.274720001220693,8.968252052394533,1.6179272297768315,test
brown_conrady,2,3,44,44,11,11,0,fully_successful,4.545293219809606,6.995826721191413,4.207256840065973,0.865686619202322,test
brown_conrady,2,4,44,44,11,11,0,fully_successful,2.9251320135103347,5.123728084564206,2.990309307074053,0.8952809998303459,test
brown_conrady,3,0,45,44,11,11,0,fully_successful,5.589001427093866,10.637531328201293,5.9728784121519265,1.6177527351898726,test
brown_conrady,3,1,45,44,11,11,0,fully_successful,3.120344196985255,6.37862102985382,3.2789768085451017,0.7835776522806286,test
brown_conrady,3,2,45,44,11,11,0,fully_successful,8.151378247162812,18.04958724975586,7.729512321858117,1.2905530214343015,test
brown_conrady,3,3,45,44,11,11,0,fully_successful,7.6478970534891,15.979930686950683,8.039570239348272,1.5031491803922805,test
brown_conrady,3,4,45,44,11,11,0,fully_successful,6.86495759471515,6.788285541534418,7.456325357361864,1.0630188333215316,test
brown_conrady,4,0,46,44,11,11,0,fully_successful,7.041999024838983,16.307515144348145,7.122497171114899,1.2664668914968296,test
brown_conrady,4,1,46,44,11,11,0,fully_successful,5.37374900662003,10.094726371765136,5.922946583128466,1.2989125914171669,test
brown_conrady,4,2,46,44,11,11,0,fully_successful,7.50265495222695,13.8426362991333,7.232339833835548,1.9134971432217769,test
brown_conrady,4,3,46,44,11,11,0,fully_successful,3.276903415787395,6.371042823791502,3.430953989761632,0.9647384359619847,test
