model,repeat_index,seed,k,successful_folds,mean_test_rms,mean_test_p95,mean_test_edge_rms,mean_test_straightness,n_straightness_folds
brown_conrady,0,42,5,5,6.101750038999915,11.1043533039093,6.516809066889634,1.192403293454872,5
brown_conrady,1,43,5,5,7.218643989620874,14.9020123386383,7.335874243991266,1.4130613708779958,5
brown_conrady,2,44,5,5,6.29451996307782,12.822961368560787,6.693603013315993,1.3096484615134454,5
brown_conrady,3,45,5,5,6.274715703889236,11.566791167259215,6.495452627853057,1.251610284523723,5
brown_conrady,4,46,5,5,5.459483496253677,10.665859036445614,5.663433579355468,1.3017790842550503,5
extended_pinhole,0,42,5,5,3.363571898061937,6.2345655488967875,3.415126798088644,1.0144057494056793,5
extended_pinhole,1,43,5,5,2.7637591759647027,5.188837981224056,2.7477986392770806,0.813798750340492,5
extended_pinhole,2,44,5,5,5.800644638152016,9.363483171463006,6.148332399744143,0.9606160584978554,5
extended_pinhole,3,45,5,5,4.390325061682006,8.766243941783904,4.6162136741494875,1.081523776110016,5
extended_pinhole,4,46,5,5,4.093142933369419,8.054930932521819,4.282394157442303,0.9670362451648786,5
fisheye,0,42,5,5,1.7833379782479895,2.8690664703295967,1.542653265156634,0.4528700196782919,5
fisheye,1,43,5,5,1.7625608341459347,2.9915602142879094,1.5469284711620646,0.44873648821986867,5
fisheye,2,44,5,5,1.769977735088976,2.9758905240813633,1.5402686389360742,0.4487900271277449,5
fisheye,3,45,5,5,1.7918351159896342,3.1062011990202576,1.6099116334314885,0.45202067492113357,5
fisheye,4,46,5,5,1.7375877197946434,2.9718367379200927,1.5434355852031079,0.45308694539793537,5
